x,y
15770.0,8995.0
15769.0,8995.0
15769.0,8997.0
15768.0,8997.0
15768.0,8998.0
15767.0,8998.0
15767.0,9000.0
15766.0,9000.0
15766.0,9001.0
15765.0,9001.0
15765.0,9002.0
15764.0,9002.0
15764.0,9004.0
15763.0,9004.0
15763.0,9005.0
15762.0,9005.0
15762.0,9008.0
15761.0,9008.0
15761.0,9010.0
15760.0,9010.0
15760.0,9011.0
15749.0,9011.0
15749.0,9012.0
15746.0,9012.0
15746.0,9013.0
15745.0,9013.0
15745.0,9014.0
15739.0,9014.0
15739.0,9015.0
15738.0,9015.0
15738.0,9016.0
15736.0,9016.0
15736.0,9017.0
15734.0,9017.0
15734.0,9016.0
15733.0,9016.0
15733.0,9015.0
15732.0,9015.0
15732.0,9014.0
15731.0,9014.0
15731.0,9013.0
15725.0,9013.0
15725.0,9014.0
15722.0,9014.0
15722.0,9015.0
15720.0,9015.0
15720.0,9016.0
15719.0,9016.0
15719.0,9017.0
15718.0,9017.0
15718.0,9018.0
15717.0,9018.0
15717.0,9019.0
15715.0,9019.0
15715.0,9020.0
15714.0,9020.0
15714.0,9021.0
15712.0,9021.0
15712.0,9022.0
15710.0,9022.0
15710.0,9023.0
15709.0,9023.0
15709.0,9024.0
15707.0,9024.0
15707.0,9025.0
15706.0,9025.0
15706.0,9027.0
15705.0,9027.0
15705.0,9028.0
15703.0,9028.0
15703.0,9029.0
15699.0,9029.0
15699.0,9030.0
15691.0,9030.0
15691.0,9031.0
15685.0,9031.0
15685.0,9032.0
15681.0,9032.0
15681.0,9033.0
15674.0,9033.0
15674.0,9032.0
15666.0,9032.0
15666.0,9033.0
15663.0,9033.0
15663.0,9034.0
15661.0,9034.0
15661.0,9035.0
15660.0,9035.0
15660.0,9036.0
15659.0,9036.0
15659.0,9038.0
15658.0,9038.0
15658.0,9039.0
15657.0,9039.0
15657.0,9040.0
15655.0,9040.0
15655.0,9041.0
15653.0,9041.0
15653.0,9042.0
15651.0,9042.0
15651.0,9043.0
15648.0,9043.0
15648.0,9044.0
15647.0,9044.0
15647.0,9041.0
15649.0,9041.0
15649.0,9040.0
15650.0,9040.0
15650.0,9038.0
15651.0,9038.0
15651.0,9036.0
15650.0,9036.0
15650.0,9031.0
15651.0,9031.0
15651.0,9029.0
15649.0,9029.0
15649.0,9028.0
15646.0,9028.0
